AtcoCode	CrsRef	Latitude	Longitude	StationName	StopType	TiplocRef	StationName2	NodeID
9400ZZSYHIL		53.4020065826	-1.4999691262	Hillsborough (Sheffield Supertram)	MET		Hillsborough (Sheffield Supertram)	
9400ZZSYHLP		53.4044039488	-1.5036562744	Hillsborough Park (Sheffield Supertram)	MET		Hillsborough Park (Sheffield Supertram)	
9100HILLSID	HIL	53.6221061006	-3.024716377	Hillside	RLY	HILLSID	Hillside Rail Station	
9100HILSEA	HLS	50.8282766045	-1.0587973304	Hilsea	RLY	HILSEA	Hilsea Rail Station	
9100HNCHLYW	HYW	51.3749982733	-0.3405244626	Hinchley Wood	RLY	HNCHLYW	Hinchley Wood Rail Station	
9100HINCKLY	HNK	52.5349984854	-1.3719232154	Hinckley	RLY	HINCKLY	Hinckley Rail Station	
9100HINDLEY	HIN	53.5422367309	-2.5755016474	Hindley	RLY	HINDLEY	Hindley Rail Station	
9100HINTONA	HNA	50.752640042	-1.714126522	Hinton Admiral	RLY	HINTONA	Hinton Admiral Rail Station	
9100HITCHIN	HIT	51.9532825348	-0.2634807646	Hitchin	RLY	HITCHIN	Hitchin Rail Station	
9100HTHRGRN	HGR	51.4520252772	-0.0009441682	Hither Green	RLY	HTHRGRN	Hither Green Rail Station	
9100HOCKLEY	HOC	51.6035562261	0.6590011989	Hockley	RLY	HOCKLEY	Hockley Rail Station	
		51.9743065	4.1283543	Hoek Van Holland	FER	HOEKVHL	Hoek Van Holland	4540332166
9400ZZLUHBN		51.5175801347	-0.1204749109	Holborn Underground	MET		Holborn Underground Station	
9400ZZLUHPK		51.5071433998	-0.2056788641	Holland Park Underground	MET		Holland Park Underground Station	
9100HBRN	HBN	51.265178922	0.6278482945	Hollingbourne	RLY	HBRN	Hollingbourne Rail Station	
9400ZZSYHOL		53.3520403291	-1.4245370992	Hollinsend (Sheffield Supertram)	MET		Hollinsend (Sheffield Supertram)	
9100HOLINWD		53.5201266879	-2.1466818347	Hollinwood (closed)	RLY		Hollinwood Rail Station (closed)	
9400ZZMAHOL		53.5198290689	-2.147495242	Hollinwood (Manchester Metrolink)	MET		Hollinwood (Manchester Metrolink)	
9400ZZDLCLA	ZZDLCLA	51.5526966781	-0.113243537	Holloway Road Underground	MET	HLWYRLT	Holloway Road Underground Station	
9400ZZLUHWY		51.5526966781	-0.113243537	Holloway Road Underground	MET		Holloway Road Underground Station	
9100HCHP	HCH	53.1989310479	-2.3511397885	Holmes Chapel	RLY	HCHP	Holmes Chapel Rail Station	
9100HLMW	HLM	51.1811957155	-0.3208089105	Holmwood	RLY	HLMW	Holmwood Rail Station	
9400ZZNNHOL		52.9117304236	1.1131372798	Holt (North Norfolkway)	MET		Holt (North Norfolk Railway)	
9400ZZMAHTN		53.4832026671	-2.2121955752	Holt Town (Manchester Metrolink)	MET		Holt Town (Manchester Metrolink)	
9100HOLTONH	HOL	50.7114085424	-2.07784478	Holton Heath	RLY	HOLTONH	Holton Heath Rail Station	
9400ZZNOHOL		52.8970142749	-1.1812587157	Holy Trinity Tram Stop	MET		Holy Trinity Tram Stop	
9100HLYH	HHD	53.3076838488	-4.6310024278	Holyhead	RLY	HLYH	Holyhead Rail Station	
9100HOLYTWN	HLY	55.8128980258	-3.9739289126	Holytown	RLY	HOLYTWN	Holytown Rail Station	
9100HOMRTON	HMN	51.5470120631	-0.0423597532	Homerton	RLY	HOMRTON	Homerton Rail Station	
9100HONYBRN	HYB	52.1016003876	-1.8337427038	Honeybourne	RLY	HONYBRN	Honeybourne Rail Station	
9100HONITON	HON	50.7965811436	-3.1867178475	Honiton	RLY	HONITON	Honiton Rail Station	
9100HONLEY	HOY	53.6082282841	-1.7809652991	Honley	RLY	HONLEY	Honley Rail Station	
9100HONROPK	HPA	51.4499889852	-0.0455053719	Honor Oak Park	RLY	HONROPK	Honor Oak Park Rail Station	
9100HOOK	HOK	51.2799982377	-0.9616357068	Hook	RLY	HOOK	Hook Rail Station	
9100HOOTON	HOO	53.2971988261	-2.9770092865	Hooton	RLY	HOOTON	Hooton Rail Station	
9100HOOTON		53.2971988261	-2.9770092865	Hooton South Junction	TL3	HOOTSJN	Hooton South Junction	
9100HOPD	HOP	53.3461101565	-1.7298867166	Hope (Derbyshire)	RLY	HOPD	Hope (Derbyshire) Rail Station	
9100HOPC	HPE	53.1173574572	-3.0368757918	Hope (Flintshire)	RLY	HOPC	Hope (Flintshire) Rail Station	
9100HOPTONH	HPT	52.3914158506	-2.912059612	Hopton Heath	RLY	HOPTONH	Hopton Heath Rail Station	
9100HORLEY	HOR	51.1687753177	-0.1610535045	Horley	RLY	HORLEY	Horley Rail Station	
9100HRNBPK	HBP	53.9798689371	-1.5268222501	Hornbeam Park	RLY	HRNBPK	Hornbeam Park Rail Station	
9400ZZLUHCH		51.5540928024	0.2191161841	Hornchurch Underground	MET		Hornchurch Underground Station	
9100HRNSY	HRN	51.5864609494	-0.1119749843	Hornsey	RLY	HRNSY	Hornsey Rail Station	
9100HSFT	HRS	53.8477057083	-1.6302283656	Horsforth	RLY	HSFT	Horsforth Rail Station	
9100HSFT		53.8477057083	-1.6302283656	Horsforth Turnback Sidings	TL3	HSFTTBS	Horsforth Turnback Sidings	
9100HORSHAM	HRH	51.0660649726	-0.3192694202	Horsham	RLY	HORSHAM	Horsham Rail Station	
9100HRSLEY	HSY	51.2793469796	-0.4354085965	Horsley	RLY	HRSLEY	Horsley Rail Station	
9400ZZBBHDK		51.0461460651	-0.0447197973	Horsted Keynes (Bluebellway)	MET		Horsted Keynes (Bluebell Railway)	
9100HTNRIBL	HIR	54.1493859384	-2.3020326706	Horton-in-Ribblesdale	RLY	HTNRIBL	Horton-in-Ribblesdale Rail Station	
9100HORWICH	HWI	53.5781059347	-2.5396659454	Horwich Parkway	RLY	HORWICH	Horwich Parkway Rail Station	
9100HOSCAR	HSC	53.5977681564	-2.8044208746	Hoscar	RLY	HOSCAR	Hoscar Rail Station	
9100HOUGHGR	HGN	53.3723913585	-2.7750659373	Hough Green	RLY	HOUGHGR	Hough Green Rail Station	
9100HOUNSLW	HOU	51.4619461273	-0.3622768775	Hounslow	RLY	HOUNSLW	Hounslow Rail Station	
9400ZZLUHWC		51.471295207	-0.3665784216	Hounslow Central Underground	MET		Hounslow Central Underground Station	
9400ZZLUHWE		51.4732132586	-0.3564737939	Hounslow East Underground	MET		Hounslow East Underground Station	
9400ZZLUHWT		51.473469004	-0.3865443099	Hounslow West Underground	MET		Hounslow West Underground Station	
9100HOVE	HOV	50.8352163591	-0.1706873198	Hove	RLY	HOVE	Hove Rail Station	
9100WROXHAM	HXM	52.7155712633	1.4079972528	Hoveton & Wroxham	RLY	WROXHAM	Hoveton & Wroxham Rail Station	
9100HOWWOOD	HWW	51.7177421332	-0.344670375	How Wood (Herts)	RLY	HOWWOOD	How Wood (Herts) Rail Station	
9100HOWDEN	HOW	53.7647112331	-0.8604630028	Howden	RLY	HOWDEN	Howden Rail Station	
9400ZZTWHDN		54.9956314102	-1.4944763135	Howdon (Tyne and Wear Metro)	MET		Howdon (Tyne and Wear Metro Station)	
9100HOWOOD	HOZ	55.8105642928	-4.5630579991	Howwood (Renfrewshire)	RLY	HOWOOD	Howwood (Renfrewshire) Rail Station	
9100HOXTON	HOX	51.531511669	-0.0756814943	Hoxton	RLY	HOXTON	Hoxton Rail Station	
9100HOYLAKE	HYK	53.3902103201	-3.1788307878	Hoylake	RLY	HOYLAKE	Hoylake Rail Station	
9100HBRTBDG	HBB	52.9753529111	-0.1105286843	Hubberts Bridge	RLY	HBRTBDG	Hubberts Bridge Rail Station	
9100HUCKNAL	HKN	53.0382840593	-1.1958114661	Hucknall	RLY	HUCKNAL	Hucknall Rail Station	
9400ZZNOHKL		53.0382839585	-1.195796554	Hucknall Tram Stop	MET		Hucknall Tram Stop	
9100HDRSFLD	HUD	53.6485023029	-1.7846901944	Huddersfield	RLY	HDRSFLD	Huddersfield Rail Station	
9100HULL	HUL	53.7441503943	-0.3456799526	Hull	RLY	HULL	Hull Rail Station	
		53.7478071	-0.2801115	Hull Bridges Junction	TP2	HULLBGJ	Hull Bridges Junction	4110630667
9100HMPHRYP	HUP	53.4522282868	-2.3275377054	Humphrey Park	RLY	HMPHRYP	Humphrey Park Rail Station	
9100HUNCOAT	HCT	53.771777094	-2.3475613309	Huncoat	RLY	HUNCOAT	Huncoat Rail Station	
9100HUNGRFD	HGD	51.4149102615	-1.5122869711	Hungerford	RLY	HUNGRFD	Hungerford Rail Station	
9100HUNMNBY	HUB	54.1739257718	-0.3145567417	Hunmanby	RLY	HUNMNBY	Hunmanby Rail Station	
9100HNTNGDN	HUN	52.3286489539	-0.192067979	Huntingdon	RLY	HNTNGDN	Huntingdon Rail Station	
9100HNTL	HNT	57.4444883044	-2.7757400059	Huntly	RLY	HNTL	Huntly Rail Station	
9100HUNTSX	HNX	53.3607109913	-2.8558609566	Hunts Cross	RLY	HUNTSX	Hunts Cross Rail Station	
9100HRSTGRN	HUR	51.2444306773	0.0039394085	Hurst Green	RLY	HRSTGRN	Hurst Green Rail Station	
9100HTNCRNS	HUT	53.9558550183	-0.433861512	Hutton Cranswick	RLY	HTNCRNS	Hutton Cranswick Rail Station	
9100HUYTON	HUY	53.4096840418	-2.8429888275	Huyton	RLY	HUYTON	Huyton Rail Station	
9100HYDEC	HYC	53.4518833317	-2.0852501294	Hyde Central	RLY	HYDEC	Hyde Central Rail Station	
9100HYDEN	HYT	53.4647996163	-2.0854568353	Hyde North	RLY	HYDEN	Hyde North Rail Station	
9400ZZSYHYP		53.3846206835	-1.4524081049	Hyde Park (Sheffield Supertram)	MET		Hyde Park (Sheffield Supertram)	
9400ZZLUHPC		51.5030345791	-0.152441461	Hyde Park Corner Underground	MET		Hyde Park Corner Underground Station	
9100HYKEHAM	HKM	53.1950050444	-0.6001963956	Hykeham	RLY	HYKEHAM	Hykeham Rail Station	
9100HYNDLND	HYN	55.879754048	-4.3146684253	Hyndland	RLY	HYNDLND	Hyndland Rail Station	
9400ZZNOHGM		52.966133892	-1.1707671239	Hyson Green Market Tram Stop	MET		Hyson Green Market Tram Stop	
9100CLCHHYT	HYH	51.8856395256	0.9275276909	Hythe (Essex)	RLY	CLCHHYT	Hythe (Essex) Rail Station	
9400ZZRHHYT		51.0712347638	1.0716729774	Hythe (RHDR)	MET		Hythe Station (RHDR)	
9100IBMM	IBM	55.9294470192	-4.8272399994	IBM(Greenock)	RLY	IBMM	IBM(Greenock) Rail Station	
9400ZZGLIBX		55.8545967809	-4.3046713943	Ibrox SPTSubway	MET		Ibrox SPTSubway Station	
9400ZZLUICK		51.5619916156	-0.4420012516	Ickenham Underground	MET		Ickenham Underground Station	
9100CATZ008		53.0359879085	-1.5693213045	Idridgehay	RLY		Idridgehay Rail Station	
9400ZZEVIDR		53.0359789736	-1.5693363063	Idridgehay (Ecclesbourne Valleyway)	MET		Idridgehay (Ecclesbourne Valley Railway)	
9100IFIELD	IFI	51.115622899	-0.2147720775	Ifield	RLY	IFIELD	Ifield Rail Station	
9100ILFORD	IFD	51.5591175291	0.0696795341	Ilford	RLY	ILFORD	Ilford Rail Station	
9400ZZTWIFD		55.0001656894	-1.6108341869	Ilford Road (Tyne and Wear Metro)	MET		Ilford Road (Tyne and Wear Metro Station)	
9100ILKES	ILN	52.9795919827	-1.2949317827	Ilkeston	RLY	ILKES	Ilkeston Rail Station	
9100ILKLEY	ILK	53.9247643096	-1.8220274895	Ilkley	RLY	ILKLEY	Ilkley Rail Station	
9400ZZBPIPH		53.8268830254	-3.0556887403	Imperial Hotel (not in use) (Blackpool Tramway)	MET		Imperial Hotel (not in use) (Blackpool Tramway)	
9100CSEAH	IMW	51.4749490963	-0.1828226772	Imperial Wharf	RLY	CSEAH	Imperial Wharf Rail Station	
9100INCE	INC	53.5389119305	-2.6115196624	Ince (Manchester)	RLY	INCE	Ince (Manchester) Rail Station	
9100INEL	INE	53.2766074946	-2.8165223062	Ince & Elton	RLY	INEL	Ince & Elton Rail Station	
9400ZZSYINF		53.3908849541	-1.4824613469	Infirmary Road (Sheffield Supertram)	MET		Infirmary Road (Sheffield Supertram)	
9100INGTSTN	INT	51.6670430798	0.3842468261	Ingatestone	RLY	INGTSTN	Ingatestone Rail Station	
9400ZZEDING		55.9404350997	-3.3559695333	Ingliston Park & Ride (Edinburgh Trams)	MET		Ingliston Park & Ride (Edinburgh Trams)	
9400ZZKWIGN		53.8537722224	-1.9149843767	Ingrow West (Keighley & Worth Valleyway)	MET		Ingrow West (Keighley & Worth Valley Railway)	
9400ZZNOINH		52.9195644026	-1.2514512224	Inham Road Tram Stop	MET		Inham Road Tram Stop	
9100INSCH	INS	57.337498528	-2.6171121957	Insch	RLY	INSCH	Insch Rail Station	
9100IVRGRD	IGD	57.6890185091	-4.1748403725	Invergordon	RLY	IVRGRD	Invergordon Rail Station	
9100INVGWRE	ING	56.4564733048	-3.0573977145	Invergowrie	RLY	INVGWRE	Invergowrie Rail Station	
9100IVRKTHG	INK	56.0346770474	-3.3961868799	Inverkeithing	RLY	IVRKTHG	Inverkeithing Rail Station	
9100INVERKP	INP	55.9061044323	-4.8725861441	Inverkip	RLY	INVERKP	Inverkip Rail Station	
9100IVRNESS	INV	57.4798698595	-4.2233610206	Inverness	RLY	IVRNESS	Inverness Rail Station	
9100INVRSHN	INH	57.9248690883	-4.3994778353	Invershin	RLY	INVRSHN	Invershin Rail Station	
9100INVURIE	INR	57.2862672241	-2.3735595309	Inverurie	RLY	INVURIE	Inverurie Rail Station	
9100IPSWICH	IPS	52.0505923448	1.1444257102	Ipswich	RLY	IPSWICH	Ipswich Rail Station	
		52.0636942	1.1260361	Ipswich Boss Hall Junction	TPL	IPSWBHJ	Ipswich Boss Hall Junction 2869395366	
		52.0625101	1.1202956	Ipswich Europa Junction	TPL	IPSWEPJ	Ipswich Europa Junction	2940679948
9100IRLAM	IRL	53.4343099294	-2.4332301278	Irlam	RLY	IRLAM	Irlam Rail Station	
		53.0621889	-1.3438074	Ironville Junction	TPL	IRNVLJN	Ironville Junction	3178834485
9400ZZREIRT		54.387841434	-3.3301882561	Irton Road (Ravenglassand Eskdaleway)	MET		Irton Road (Ravenglassand Eskdale Railway)	
9100IRVN	IRV	55.6108741269	-4.675145434	Irvine	RLY	IRVN	Irvine Rail Station	
9400ZZDLISL		51.4878108796	-0.0101392462	Island Gardens DLR	MET		Island Gardens DLR Station	
9100ISLEWTH	ISL	51.4747628211	-0.336906726	Isleworth	RLY	ISLEWTH	Isleworth Rail Station	
9100ISLIP	ISP	51.8257532624	-1.2381816359	Islip	RLY	ISLIP	Islip Rail Station	
9100IVER	IVR	51.5085028184	-0.5067259497	Iver	RLY	IVER	Iver Rail Station	
9100IVYBDGE	IVY	50.3934121777	-3.9042041287	Ivybridge	RLY	IVYBDGE	Ivybridge Rail Station	
9100JAMCOK	JCH	54.5520305338	-1.2085693492	James Cook	RLY	JAMCOK	James Cook Rail Station	
9400ZZTWJRW		54.9794976378	-1.4936633347	Jarrow (Tyne and Wear Metro)	MET		Jarrow (Tyne and Wear Metro Station)	
9400ZZTWJMD		54.9830745654	-1.6054678913	Jesmond (Tyne and Wear Metro)	MET		Jesmond (Tyne and Wear Metro Station)	
9100BHAMJEW	JEQ	52.4894346454	-1.9132127458	Jewellery Quarter	RLY	BHAMJEW	Jewellery Quarter Rail Station	
9400ZZWMJQ		52.4896593721	-1.9131828501	Jewellery Quarter (Midland Metro Stop)	MET		Jewellery Quarter (Midland Metro Stop)	
9100JHNSTND	JOH	51.7567466955	-4.9963282759	Johnston (Pembrokeshire)	RLY	JHNSTND	Johnston (Pembrokeshire) Rail Station	
9100JOHNSTN	JHN	55.8347086847	-4.5036372575	Johnstone	RLY	JOHNSTN	Johnstone Rail Station	
9100JORDANH	JOR	55.8827064637	-4.3249178619	Jordanhill	RLY	JORDANH	Jordanhill Rail Station	
9100KEARSLY	KSL	53.5441391286	-2.3751196437	Kearsley	RLY	KEARSLY	Kearsley Rail Station	
9100KSNY	KSN	51.1493756606	1.272061449	Kearsney	RLY	KSNY	Kearsney Rail Station	
9100KEIGHLY	KEI	53.8679628889	-1.9016494746	Keighley	RLY	KEIGHLY	Keighley Rail Station	
9100KEITH	KEH	57.5508991602	-2.9540687983	Keith	RLY	KEITH	Keith Rail Station	
		57.5527973178	-2.9487543129	Keith Branch Platform GBRF	TP4	KEITBPG	Keith Branch Platform GBRF	
9400ZZKDKTN		57.5437008196	-2.9556514939	Keith Town (Keithand Dufftownway)	MET		Keith Town (Keithand Dufftown Railway)	
9100KELVEDN	KEL	51.8407023159	0.702385687	Kelvedon	RLY	KELVEDN	Kelvedon Rail Station	
9400ZZGLKEB		55.8742974606	-4.2795892755	Kelvinbridge SPTSubway	MET		Kelvinbridge SPTSubway Station	
9100DAWSHLM	KVD	55.8935558201	-4.3095725794	Kelvindale	RLY	DAWSHLM	Kelvindale Rail Station	
9400ZZGLKEL		55.8708975779	-4.3000105525	Kelvinhall SPTSubway	MET		Kelvinhall SPTSubway Station	
9100KEMBLE	KEM	51.6769955602	-2.0228170842	Kemble	RLY	KEMBLE	Kemble Rail Station	
9100KMPSTNH	KMH	52.0922183386	-0.5039137552	Kempston Hardwick	RLY	KMPSTNH	Kempston Hardwick Rail Station	
9100KMPTNPK	KMP	51.4209831476	-0.409751255	Kempton Park	RLY	KMPTNPK	Kempton Park Rail Station	
9100KEMSING	KMS	51.2971871472	0.2474284243	Kemsing	RLY	KEMSING	Kemsing Rail Station	
9100KMSLY	KML	51.3624402662	0.7353578044	Kemsley	RLY	KMSLY	Kemsley Rail Station	
9100KENDAL	KEN	54.3320958859	-2.7396465848	Kendal	RLY	KENDAL	Kendal Rail Station	
9100KENLSTN	KNW	52.3427052838	-1.5727382281	Kenilworth	RLY	KENLSTN	Kenilworth Rail Station	
9100KNLY	KLY	51.3247769419	-0.1009253422	Kenley	RLY	KNLY	Kenley Rail Station	
490013437W		51.3255996849	-0.1000875773	Kenley Station (A22)	BCT	KNLYBUS	The Kenley Hotel, Kenley Station (A22)	
9100KENNETT	KNE	52.2772642337	0.4904645223	Kennett	RLY	KENNETT	Kennett Rail Station	
9400ZZLUKNG		51.4883366876	-0.1059627615	Kennington Underground	MET		Kennington Underground Station	
9100KENISHD	KNS	55.8133157217	-4.3252461576	Kennishead	RLY	KENISHD	Kennishead Rail Station	
9400ZZWMKE		52.5087124876	-1.9826884607	Kenrick Park (Midland Metro Stop)	MET		Kenrick Park (Midland Metro Stop)	
9100KENSLG	KNL	51.5305402045	-0.2250875861	Kensal Green	RLY	KENSLG	Kensal Green Rail Station	
9400ZZLUKSL		51.5305391145	-0.2250155418	Kensal Green Underground	MET		Kensal Green Underground Station	
9100KENR	KNR	51.5345540038	-0.2199570374	Kensal Rise	RLY	KENR	Kensal Rise Rail Station	
9100KENOLYM	KPA	51.4978988128	-0.2103640608	Kensington (Olympia)	RLY	KENOLYM	Kensington (Olympia) Rail Station	
9400ZZLUKOY		51.4976237071	-0.2100146619	Kensington (Olympia) Underground	MET		Kensington (Olympia) Underground Station	
9100KENTHOS	KTH	51.4122152159	-0.0452473692	Kent House	RLY	KENTHOS	Kent House Rail Station	
9100KNTSHTN	KTN	51.5504949019	-0.1403649083	Kentish Town	RLY	KNTSHTN	Kentish Town Rail Station	
9400ZZLUKSH		51.5503118936	-0.1407329651	Kentish Town Underground	MET		Kentish Town Underground Station	
9100KNTSHTW	KTW	51.5465478376	-0.1466554366	Kentish Town West	RLY	KNTSHTW	Kentish Town West Rail Station	
9100KTON	KNT	51.581801537	-0.3169808531	Kenton	RLY	KTON	Kenton Rail Station	
9400ZZLUKEN		51.5817555653	-0.3169103845	Kenton Underground	MET		Kenton Underground Station	
9100KTBK	KBK	54.172902328	-2.9252291859	Kents Bank	RLY	KTBK	Kents Bank Rail Station	
9100KETR	KET	52.3935549937	-0.7315621978	Kettering	RLY	KETR	Kettering Rail Station	
9100KEWBDGE	KWB	51.4895128582	-0.2871075504	Kew Bridge	RLY	KEWBDGE	Kew Bridge Rail Station	
9100KEWGRDN	KWG	51.4770733418	-0.2850535141	Kew Gardens	RLY	KEWGRDN	Kew Gardens Rail Station	
9400ZZLUKWG		51.4770581031	-0.2852412904	Kew Gardens Underground	MET		Kew Gardens Underground Station	
9100KEYHAM	KEY	50.3898798957	-4.1795991946	Keyham	RLY	KEYHAM	Keyham Rail Station	
9100KEYNSHM	KYN	51.4179769575	-2.4956289098	Keynsham	RLY	KEYNSHM	Keynsham Rail Station	
0180BAC30692		51.4179390663	-2.4982026028	Keynsham Church	BCT	KEYNSCH	Keynsham Church	
9100KIDBROK	KDB	51.4621212961	0.0274976251	Kidbrooke	RLY	KIDBROK	Kidbrooke Rail Station	
9100KDRMNST	KID	52.3844824488	-2.2384707268	Kidderminster	RLY	KDRMNST	Kidderminster Rail Station	
9400ZZSVKID		52.3844894765	-2.2394404589	Kidderminster Town (Severn Valleyway)	MET		Kidderminster Town (Severn Valley Railway)	
9100KIDSGRV	KDG	53.0865653688	-2.244815835	Kidsgrove	RLY	KIDSGRV	Kidsgrove Rail Station	
9100KIDWELY	KWL	51.7343418047	-4.316985475	Kidwelly	RLY	KIDWELY	Kidwelly Rail Station	
9100KLBRNHR	KBN	51.5372774699	-0.1922374197	Kilburn High Road	RLY	KLBRNHR	Kilburn High Road Rail Station	
9400ZZLUKPK		51.5349791497	-0.1942317612	Kilburn Park Underground	MET		Kilburn Park Underground Station	
9400ZZLUKBN		51.5468028353	-0.2041046342	Kilburn Underground	MET		Kilburn Underground Station	
9100KLDL	KLD	54.4777575831	-1.0681434228	Kildale	RLY	KLDL	Kildale Rail Station	
9100KILDONN	KIL	58.1708094641	-3.8691060846	Kildonan	RLY	KILDONN	Kildonan Rail Station	
9100KILGETY	KGT	51.7321064563	-4.7151557059	Kilgetty	RLY	KILGETY	Kilgetty Rail Station	
9100KILMRNK	KMK	55.6121176135	-4.4986847575	Kilmarnock	RLY	KILMRNK	Kilmarnock Rail Station	
9100KLMAURS	KLM	55.6372079184	-4.5304903801	Kilmaurs	RLY	KLMAURS	Kilmaurs Rail Station	
9100KLPTRCK	KPT	55.9247013925	-4.4534119577	Kilpatrick	RLY	KLPTRCK	Kilpatrick Rail Station	
9100KILWNNG	KWN	55.655951187	-4.7100186129	Kilwinning	RLY	KILWNNG	Kilwinning Rail Station	
9100KINBRAC	KBC	58.2583126802	-3.9412079269	Kinbrace	RLY	KINBRAC	Kinbrace Rail Station	
9400ZZDLKGV		51.5020030717	0.0626238269	King George VDLR	MET		King George VDLR Station	
9400ZZCRKGH		51.3453662605	-0.020293372	King Henry's Drive Tram Stop	MET		King Henry's Drive Tram Stop	
9400ZZLUKSX		51.5306628239	-0.1231944982	King's Cross St.Pancras Underground	MET		King's Cross St.Pancras Underground Station	
		55.8982272	-3.0869476	King's Gate Junction	TPL	KGSGJN	King's Gate Junction	5268885998
9100KINGHAM	KGM	51.9022496223	-1.6287861867	Kingham	RLY	KINGHAM	Kingham Rail Station	
9100KGHN	KGH	56.0693375269	-3.1741540803	Kinghorn	RLY	KGHN	Kinghorn Rail Station	
9100KXTLSR		51.530661848	-0.1203254412	Kings Cross Thameslink	RLY		Kings Cross Thameslink Rail Station	
9100CATEZKX		51.530270412	-0.123960344	Kings Cross Underground	RLY		Kings Cross Underground Station	
9100KLGL	KGL	51.7063558766	-0.4384218704	Kings Langley	RLY	KLGL	Kings Langley Rail Station	
9100KLYNN	KLN	52.7539240046	0.4034466833	Kings Lynn	RLY	KLYNN	Kings Lynn Rail Station	
2900K132		52.7540456729	0.39921492	Kings Lynn Bus Transport Interchange	BCS	PBROKLB	Kings Lynn Bus Station Transport Interchange	
9100KNORTON	KNN	52.4142906604	-1.9323257282	Kings Norton	RLY	KNORTON	Kings Norton Rail Station	
9100KNYMPTN	KGN	50.9360740853	-3.905410699	Kings Nympton	RLY	KNYMPTN	Kings Nympton Rail Station	
9100KGPK	KGP	55.8195430686	-4.2465169458	Kings Park	RLY	KGPK	Kings Park Rail Station	
9100KINSSTN	KGS	52.0213513178	-1.2809305468	Kings Sutton	RLY	KINSSTN	Kings Sutton Rail Station	
9400ZZFBBMF	ZZFBBMF	52.0210975224	-1.2747264193	Kings Sutton-Village Square	BCQ	KINSVSQ	Kings Sutton-Village Square	
9400ZZLUKBY		51.5848445625	-0.2787904322	Kingsbury Underground	MET		Kingsbury Underground Station	
9400ZZBBKNG		51.1030603757	-0.0482614466	Kingscote (Bluebellway)	MET		Kingscote (Bluebell Railway)	
9100KNGW	KGE	55.9188134544	-3.2649661733	Kingsknowe	RLY	KNGW	Kingsknowe Rail Station	
9400ZZCVKFG		53.0215966966	-1.9645528623	Kingsley & Froghall (Churnet Valleyway)	MET		Kingsley & Froghall (Churnet Valley Railway)	
2400A028420A		51.0810864161	1.1692307704	Kingsnorth Gardens, Fishbourne (A259)	BCT	FSHBBUS	Kingsnorth Gardens, Fishbourne (A259)	
9100KGSTON	KNG	51.4127512459	-0.301165709	Kingston	RLY	KGSTON	Kingston Rail Station	
9400ZZTWKSP		55.0143724186	-1.6650853932	Kingston Park (Tyne and Wear Metro)	MET		Kingston Park (Tyne and Wear Metro Station)	
9400ZZMAKNY		53.6111052876	-2.1238569411	Kingsway Business Park (Manchester Metrolink)	MET		Kingsway Business Park (Manchester Metrolink)	
9400ZZPDKGW		50.3487819098	-3.5729418434	Kingswear (Paigntonand Dartmouthway)	MET		Kingswear (Paigntonand Dartmouth Railway)	
9100KGWD	KND	51.2947247232	-0.2112474821	Kingswood	RLY	KGWD	Kingswood Rail Station	
9100KGUSSIE	KIN	57.0777817259	-4.0521921978	Kingussie	RLY	KGUSSIE	Kingussie Rail Station	
9400ZZBKKIN		56.0149058554	-3.6245648634	Kinneil (Bo’ness & Kinneilway)	MET		Kinneil (Bo’ness & Kinneil Railway)	
9400ZZGLKIN		55.8505084913	-4.2877657357	Kinning Park SPTSubway	MET		Kinning Park SPTSubway Station	
9100KNTBRY	KIT	51.4025219757	-1.4459888453	Kintbury	RLY	KNTBRY	Kintbury Rail Station	
9100KIRBYX	KBX	51.8413978879	1.2149927051	Kirby Cross	RLY	KIRBYX	Kirby Cross Rail Station	
9100KKSNDAL	KKS	53.5638781115	-1.0740610266	Kirk Sandall	RLY	KKSNDAL	Kirk Sandall Rail Station	
9100KKBY	KIR	53.4861906883	-2.9028292012	Kirkby	RLY	KKBY	Kirkby Rail Station	
9100KSTP	KSW	54.4548569986	-2.3685965957	Kirkby Stephen	RLY	KSTP	Kirkby Stephen Rail Station	
9100KSTP		54.4548569986	-2.3685965957	Kirkby Stephen Town Centre	RLY	KSTPTC	Kirkby Stephen Town Centre	
9100KRKBYIF	KBF	54.2327092998	-3.1873757031	Kirkby-in-Furness	RLY	KRKBYIF	Kirkby-in-Furness Rail Station	
9100KRKYCEN	KKB	53.1000988077	-1.2530566312	Kirkbyin Ashfield	RLY	KRKYCEN	Kirkbyin Ashfield Rail Station	
9100KCLD	KDY	56.112058084	-3.167028338	Kirkcaldy	RLY	KCLD	Kirkcaldy Rail Station	
9100KRKC	KRK	55.3883033237	-3.9985002776	Kirkconnel	RLY	KRKC	Kirkconnel Rail Station	
9100KRKDALE	KKD	53.4408989241	-2.9811168129	Kirkdale	RLY	KRKDALE	Kirkdale Rail Station	
9100KIRKHAM	KKM	53.7869152442	-2.8829407916	Kirkham & Wesham	RLY	KIRKHAM	Kirkham & Wesham Rail Station	
		53.7881517	-2.8943123	Kirkham West Junction	TPL	KIRKMWJ	Kirkham West Junction	2462682805
9100ZZTYKKH	ZZT	54.8433896164	-2.476945241	Kirkhaugh	RLY	ZZTYKKH	Kirkhaugh Rail Station	
