AtcoCode	CrsRef	Latitude	Longitude	StationName	StopType	TiplocRef	StationName2	NodeID
9100ALVCRLP		52.3528561465	-1.9609606759	Alvechurch-Red Lion PH	BCQ	ALVCRLP	Alvechurch-Red Lion PH	
9100AMBERGT	AMB	53.0605163282	-1.4806974242	Ambergate	RLY	AMBERGT	Ambergate Rail Station	
9100AMLY	AMY	50.8966800221	-0.541992327	Amberley	RLY	AMLY	Amberley Rail Station	
9100AMERSHM	AMR	51.6742057989	-0.607596056	Amersham	RLY	AMERSHM	Amersham Rail Station	
9400ZZLUAMS		51.6741262729	-0.607714193	Amersham Underground	MET		Amersham Underground Station	
9100AMMANFD	AMF	51.7959747272	-3.9967348878	Ammanford	RLY	AMMANFD	Ammanford Rail Station	
9400ZZCRAMP		51.3823011562	-0.1236510803	Ampere Way Tram Stop	MET		Ampere Way Tram Stop	
9100ANCASTR	ANC	52.9876873565	-0.5356236521	Ancaster	RLY	ANCASTR	Ancaster Rail Station	
9400ZZMAANC		53.4745543133	-2.2861120587	Anchorage (Manchester Metrolink)	MET		Anchorage (Manchester Metrolink)	
9400ZZBPAHM		53.8713808008	-3.0427257119	Anchorsholme (Blackpool Tramway)	MET		Anchorsholme (Blackpool Tramway)	
9100ANDRSTN	AND	55.8598969664	-4.270979043	Anderston	RLY	ANDRSTN	Anderston Rail Station	
9100ANDOVER	ADV	51.2115468802	-1.4922329132	Andover	RLY	ANDOVER	Andover Rail Station	
9100ANERLEY	ANZ	51.4121529856	-0.0658858399	Anerley	RLY	ANERLEY	Anerley Rail Station	
9100ANGELRD	AGR	51.6124049276	-0.0487913406	Angel Road	RLY	ANGELRD	Angel Road Rail Station	
9400ZZLUAGL		51.5326239586	-0.1058984981	Angel Underground	MET		Angel Underground Station	
9100ANGMRNG	ANG	50.8165753123	-0.4893939399	Angmering	RLY	ANGMRNG	Angmering Rail Station	
9100ANNAN	ANN	54.9838352689	-3.2625804581	Annan	RLY	ANNAN	Annan Rail Station	
9100ANSL	ANL	55.8893502722	-4.3219568299	Anniesland	RLY	ANSL	Anniesland Rail Station	
9100ANSDELL	AFV	53.7414622845	-2.9930339507	Ansdell & Fairhaven	RLY	ANSDELL	Ansdell & Fairhaven Rail Station	
9100APERLYB	APY	53.8417489717	-1.70582848	Apperley Bridge	RLY	APERLYB	Apperley Bridge Rail Station	
9100APBY	APP	54.5803464285	-2.4866922309	Appleby	RLY	APBY	Appleby Rail Station	
9100APDR	APD	51.0332372898	0.8163416603	Appledore (Kent)	RLY	APDR	Appledore (Kent) Rail Station	
9100APPLEFD	APF	51.6396412157	-1.2421414036	Appleford	RLY	APPLEFD	Appleford Rail Station	
9100APLYBDG	APB	53.5786707436	-2.7192520985	Appley Bridge	RLY	APLYBDG	Appley Bridge Rail Station	
9100APSLEY	APS	51.7325217602	-0.4629347325	Apsley	RLY	APSLEY	Apsley Rail Station	
9400ZZSYABR		53.3634230098	-1.4480063763	Arbourthorne Road (Sheffield Supertram)	MET		Arbourthorne Road (Sheffield Supertram)	
9100ARBROTH	ARB	56.559573741	-2.5889313943	Arbroath	RLY	ARBROTH	Arbroath Rail Station	
9400ZZLUACY		51.5654782149	-0.134819061	Archway Underground	MET		Archway Underground Station	
9100ARDGAY	ARD	57.8814523937	-4.3620892061	Ardgay	RLY	ARDGAY	Ardgay Rail Station	
9100ARDLUI	AUI	56.3019665442	-4.7216573757	Ardlui	RLY	ARDLUI	Ardlui Rail Station	
9100ARDRSHB	ADS	55.6398722305	-4.8211103769	Ardrossan Harbour	RLY	ARDRSHB	Ardrossan Harbour Rail Station	
9100ARDRSSB	ASB	55.6414161739	-4.8012113948	Ardrossan South Beach	RLY	ARDRSSB	Ardrossan South Beach Rail Station	
9100ARDRSTN	ADN	55.6397064697	-4.8126751997	Ardrossan Town	RLY	ARDRSTN	Ardrossan Town Rail Station	
9100ARDWICK	ADK	53.4715498277	-2.2143218098	Ardwick	RLY	ARDWICK	Ardwick Rail Station	
9400ZZCRARA		51.3915248414	-0.0583471954	Arena Tram Stop	MET		Arena Tram Stop	
